date,campaign,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
20121115,GSN-Brand-Mob,234,32,28.03,0.8759375,13.67521368,0,0,0,0,0
20121115,GSN-Competitor,526,35,577.27,16.49342857,6.653992395,0,0,0,0,0
20121115,GSN-Competitor-Mob,123,6,44.79,7.465,4.87804878,0,0,0,0,0
20121115,GSN-Generic,5138,83,252.83,3.046144578,1.615414558,0,0,0,0,0
20121115,GSN-Generic-Mob,719,28,267.71,9.561071429,3.894297636,0,0,0,0,0
20121115,GSN-Product,139,9,9.08,1.008888889,6.474820144,0,0,0,0,0
20121115,GSN-Product-Mob,439,3,27.8,9.266666667,0.683371298,0,0,0,0,0
20121115,JARUNEE-Interests,353072,578,3016.36,5.218615917,0.163705986,0,0,0,0,0
20121115,JARUNEE-Placements,117516,103,593.91,5.766116505,0.087647639,0,0,0,0,0
20121115,JARUNEE-Topic,132454,136,710.85,5.226838235,0.102677156,0,0,0,0,0
20121115,MEDICAL-2410-3110-Keywords,178231,182,711.34,3.908461538,0.102114671,0,0,0,0,0
20121115,MyAnnuityPlus_Interest,9,0,0,0,0,0,0,0,0,0
20121115,MyAnnuityPlus_Keyword,1,0,0,0,0,0,0,0,0,0
20121115,MySaving_Interest,126591,255,1240.32,4.864,0.201436121,0,0,0,0,0
